Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
tpm_afk,AFK WARNING,AFK WARNING,AFK UPOZORNĚNÍ,AFK-WARNUNG,ПРЕДУПРЕЖДЕНИЕ AFK,OSTRZEŻENIE O AFK,AFK FIGYELMEZTETÉS,AVVISO AFK,ADVERTENCIA AFK,AVERTISSEMENT AFK,AFK警告,AFK警告,AVISO DE AFK,AFK警告,
tpm_afk_text,You're about to get kicked! Move way from your position now!,You're about to get kicked! Move way from your position now!,Chystáte se dostat kopačky! Okamžitě se posuňte ze své pozice!,Du wirst gleich getreten! Bewegen Sie sich jetzt von Ihrer Position weg!,Тебя вот-вот кикнут! Отойдите от своей позиции сейчас же!,Zaraz zostaniesz wyrzucony! Odsuń się od swojej pozycji już teraz!,Rúgni készülsz! Távolodjon el a pozíciójától most!,Stai per essere preso a calci! Allontanati dalla tua posizione ora!,¡Estás a punto de ser pateado! ¡Muévase de su posición ahora!,Vous êtes sur le point de vous faire virer ! Éloignez-vous de votre position maintenant !,你要被踢了！ 現在從你的位置移開！,あなたは蹴られようとしています！ 今あなたの位置から道を移動してください！,Você está prestes a ser chutado! Saia da sua posição agora!,你要被踢了！ 现在从你的位置移开！,
tpm_player_text,PLAYER PREVIEW,PLAYER PREVIEW,UKÁZKA HRÁČE,SPIELERVORSCHAU,ПРОСМОТР ИГРОКА,PODGLĄD GRACZA,A JÁTÉKOSOK ELŐNYE,ANTEPRIMA GIOCATORE,VISTA PREVIA DEL JUGADOR,APERÇU DU JOUEUR,球員預覽,プレイヤーのプレビュー,VISUALIZAÇÃO DO JOGADOR,球员预览,
tpm_back_inv,BACK TO INVENTORY,BACK TO INVENTORY,ZPĚT DO INVENTÁŘE,ZURÜCK ZUM INVENTAR,НАЗАД В ИНВЕНТАРЬ,POWRÓT DO INWENTARYZACJI,VISSZA A KÉSZLETEKHEZ,TORNA ALL'INVENTARIO,VOLVER AL INVENTARIO,RETOUR À L'INVENTAIRE,回到庫存,在庫に戻る,VOLTAR AO INVENTÁRIO,回到库存,
tpm_remove,REMOVE CLOTHES,REMOVE CLOTHES,ODSTRANIT OBLEČENÍ,KLEIDUNG ENTFERNEN,СНЯТЬ ОДЕЖДУ,ZDEJMIJ UBRANIA,Távolítsa el a ruhákat,TOGLI I VESTITI,QUITAR LA ROPA,DÉSHABILLER,脫衣服,服を脱ぐ,TIRAR A ROUPA,脱衣服,
tpm_reset,RESET CLOTHES,RESET CLOTHES,RESETOVAT OBLEČENÍ,KLEIDUNG ZURÜCKSETZEN,СБРОС ОДЕЖДЫ,RESETUJ UBRANIA,RUHÁK NULLÁLÁSA,RESET ABBIGLIAMENTO,REINICIAR ROPA,RÉINITIALISER LES VÊTEMENTS,重置衣服,服をリセット,REINICIAR ROUPA,重置衣服,
tpm_kit_preview,KIT PREVIEW,KIT PREVIEW,NÁHLED SADY,KIT-VORSCHAU,ПОКАЗАТЬ КОМПЛЕКТ,PODGLĄD ZESTAWU,KIT ÁTTEKINTÉS,ANTEPRIMA KIT,VISTA PREVIA DEL KIT,APERÇU DU KIT,套件預覽,キットプレビュー,PREVISÃO DE KIT,套件预览,
tpm_pristine,pristine,pristine,Nepoškozený,makellos,нетронуто,dziewiczy,ősi,incontaminato,prístino,parfait,原始的,新品同様,imaculado,原始的,
tpm_worn,worn,worn,Opotřebený,getragen,поношено,używany,kopott,logoro,gastado,porté,磨損,ボロボロになっている,desgastado,磨损,
tpm_damaged,damaged,damaged,Silně Opotřebený,beschädigt,повреждено,uszkodzony,sérült,danneggiato,dañado,endommagé,損壞的,損傷している,estragado,损坏的,
